day,city,name,count
2010-07-15,Суксун,michael argenziano,6
2010-07-15,Кунгур,robin goland,3
2010-07-15,Суксун,peter whitehouse,3
2010-07-15,Кунгур,steven nissen,3
2010-07-15,Суксун,ronald peterson,3
2010-07-15,Кунгур,richard platt,2
2010-07-15,Кунгур,jon lapook,2
2010-07-15,Кунгур,david graham,2
2010-07-15,Кунгур,janet woodcock,2
2010-07-15,Кунгур,allison goldfine,2
2010-07-16,Кунгур,jennifer ashton,3
2010-07-16,Нытва,karol sikora,3
2010-07-17,Кунгур,stuart levy,3
2010-07-17,Кунгур,richard carnevale,2
2010-07-20,Кунгур,tendler now,5
2010-07-20,Суксун,alison tendler,5
2010-07-20,Суксун,tendler now,5
2010-07-20,Кунгур,longevity cbsnews,5
2010-07-20,Кунгур,alison tendler,5
2010-07-20,Нытва,ward cates,2
2010-07-22,Кунгур,tendler now,5
2010-07-22,Кунгур,alison tendler,4
2010-07-23,Суксун,richard besser,6
2010-07-23,Кунгур,alison tendler,5
2010-07-23,Кунгур,tendler now,5
2010-07-24,Суксун,howard luks,4
2010-07-25,Нытва,alison tendler,6
2010-07-25,Нытва,tendler now,5
2010-07-25,Суксун,william barber,3
2010-07-26,Кунгур,tendler now,5
2010-07-26,Кунгур,alison tendler,4
2010-07-26,Кунгур,sharon brangman,2
2010-07-26,Кунгур,michael mccloud,2
2010-07-29,Суксун,richard besser,5
2010-07-29,Суксун,william goldberg,3
2010-07-30,Суксун,richard besser,17
2010-07-30,Суксун,peter hotez,5
2010-07-30,Кунгур,jon lapook,2
2010-07-31,Суксун,beaucham wester,2
2010-08-01,Суксун,gregory skomal,2
2010-08-02,Суксун,richard besser,3
2010-08-03,Суксун,richard besser,11
2010-08-03,Суксун,paolo macchiarini,9
2010-08-04,Нытва,william dietz,5
2010-08-04,Кунгур,jennifer ashton,4
2010-08-06,Нытва,maxim maskin,9
2010-08-06,Суксун,david ludwig,4
2010-08-06,Кунгур,bernard bochner,3
2010-08-07,Кунгур,david persse,4
2010-08-09,Суксун,joe vitale,9
2010-08-09,Кунгур,karen woo,2
2010-08-10,Суксун,richard besser,13
2010-08-10,Нытва,alanna levine,12
2010-08-10,Кунгур,alison tendler,5
2010-08-10,Суксун,joyce lee,5
2010-08-10,Нытва,erique emel,4
2010-08-10,Кунгур,jennifer ashton,4
2010-08-10,Нытва,joyce lee,3
2010-08-10,Нытва,mary wolff,3
2010-08-10,Кунгур,jon lapook,2
2010-08-10,Кунгур,karen woo,2
2010-08-11,Суксун,richard besser,7
2010-08-11,Суксун,paul aisen,5
2010-08-11,Нытва,scott small,4
2010-08-11,Нытва,samuel gandy,4
2010-08-11,Нытва,alison tendler,4
2010-08-12,Суксун,richard besser,11
2010-08-12,Суксун,anthony fauci,3
2010-08-12,Суксун,brad spellberg,3
2010-08-13,Суксун,alison tendler,5
2010-08-13,Суксун,seuss book,4
2010-08-13,Суксун,seuss abc,3
2010-08-13,Суксун,seuss dr,2
2010-08-13,Суксун,seu childhood,2
2010-08-14,Кунгур,laura schlessinger,42
2010-08-14,Суксун,richard besser,14
2010-08-14,Суксун,alison tendler,4
2010-08-14,Суксун,laura abc,4
2010-08-14,Кунгур,alison tendler,4
2010-08-14,Суксун,laura irtual,2
2010-08-15,Нытва,alison tendler,3
2010-08-17,Нытва,alison tendler,5
2010-08-18,Суксун,robert stern,5
2010-08-18,Нытва,josef shargorodsky,4
2010-08-18,Нытва,brian fligor,3
2010-08-18,Кунгур,jon lapook,3
2010-08-19,Суксун,richard besser,6
2010-08-19,Суксун,sara cody,4
2010-08-19,Нытва,william schaffner,4
2010-08-19,Суксун,chris braden,4
2010-08-19,Нытва,christopher braden,3
2010-08-20,Суксун,richard besser,7
2010-08-20,Суксун,helen fisher,4
2010-08-20,Нытва,christopher braden,3
2010-08-20,Кунгур,christopher braden,3
2010-08-21,Суксун,alison tendler,5
2010-08-22,Нытва,alison tendler,5
2010-08-22,Нытва,paul lopodo,4
2010-08-22,Нытва,william schaffner,3
2010-08-23,Суксун,robert gotlin,4
2010-08-24,Суксун,alison tendler,4
2010-08-24,Нытва,margaret hamburg,4
2010-08-24,Кунгур,alison tendler,4
2010-08-24,Нытва,christopher braden,4
2010-08-24,Суксун,jonathan fielding,4
2010-08-24,Нытва,alison tendler,3
2010-08-24,Кунгур,robert klitzman,3
