1	         Зенит	         19	         12	         5	         2
2	         ЦСКА	         19	         11	         4	         4
3	         Спартак	         19	         10	         5	         4
4	         Сочи	         19	         9	         6	         4
5	         Ростов	         19	         10	         2	         7
6	         Краснодар	         19	         9	         3	         7
7	         Динамо	         19	         9	         3	         7
8	         Рубин	         19	         8	         4	         7
9	         Локомотив	         19	         8	         4	         7
10	         Ахмат	         19	         7	         5	         7
11	         Химки	         19	         7	         4	         8
12	         Урал	         19	         4	         9	         6
13	         Арсенал Тула	         19	         3	         5	         11
14	         Ротор	         19	         3	         5	         11
15	         Тамбов	         19	         3	         4	         12
16	         Уфа	         19	         3	         4	         12
